"id_fetches","url","source_name","source_encoding","title","keywords","author","publish_date","crawltime","content","createtime"
"128","https://www.thepaper.cn/newsDetail_forward_7287306","澎湃国际","utf-8","美疾控中心：全国至少4893名囚犯感染新冠肺炎_澎湃国际_澎湃新闻-The Paper","美国,新冠肺炎","责任编辑：李琪","7/5/2020","7/5/2020 09:17:37","当地时间5月6日，美国疾病控制和预防中心表示，全美至少有4893名被拘留或监禁的囚犯感染新冠肺炎，88人死亡；至少2778名工作人员确诊，15人死亡。疾控中心发现，全美有420个惩教或拘留所已报告感染病例。（原题为《美疾控中心：美国至少4893名囚犯感染新冠肺炎》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:38"
"129","https://www.thepaper.cn/newsDetail_forward_7287474","澎湃国际","utf-8","墨西哥新增新冠肺炎确诊病例1609例，累计27634例_澎湃国际_澎湃新闻-The Paper","墨西哥,新型冠状病毒肺炎","责任编辑：王卉","7/5/2020","7/5/2020 09:17:37","图片来源：墨西哥卫生部墨西哥当地时间5月6日，墨西哥卫生部宣布，截至墨西哥当地时间5月6日晚上7点，墨西哥全国确诊27634例新冠肺炎病例，较前一天新增了1609例。同时，墨西哥全国确诊死亡病例较前一天新增197例，总数已经上升到2704例。（原题为《​墨西哥新增新冠肺炎确诊病例1609例 累计确诊27634例》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:39"
"130","https://www.thepaper.cn/newsDetail_forward_7287425","澎湃国际","utf-8","意大利新增新冠肺炎确诊病例1444例，累计214457例_澎湃国际_澎湃新闻-The Paper","意大利,新型冠状病毒肺炎","责任编辑：王卉","7/5/2020","7/5/2020 09:17:37","意大利民事保护部门6日发布的数据显示，意大利累计治愈新冠患者93245人，治愈人数首次超过现有患者人数。数据显示，意大利当天新增治愈病例8014例，累计治愈93245例；现有病例比前一天减少6939例，降至91528例。意大利民事保护部门说，治愈人数大幅上升的部分原因，是疫情最严重的伦巴第大区把过去几天未计算在内的治愈人数计入了当天数据。意大利当天新增确诊病例1444例，累计确诊214457例；新增死亡病例369例，累计死亡29684例。在现有患者中，有74426人在居家隔离，15769人在医院接受普通治疗，1333人在重症监护室接受治疗。普通住院病例和重症病例分别比前一天减少501例和94例。欧盟委员会在当天发表的经济展望报告中说，疫情使意大利经济陷入严重衰退，预计意大利今年国内生产总值将下跌9.5%。报告预计意大利经济在下半年出现技术性反弹，并在2021年增长6.5%。意大利经济与财政部的数据显示，该国银行已收到160万份暂停偿还贷款的申请，总额为1770亿欧元；意大利经济发展部则已收到约9.2万份中小企业要求政府提供贷款担保的申请，总额为56亿欧元。意大利从1月31日开始实施为期6个月的紧急状态以应对疫情，从3月10日起进入全国“封城”状态直至5月3日，从5月4日起进入抗疫和恢复经济并行的“第二阶段”。（原题为《意大利累计治愈新冠患者93245人》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:39"
"132","https://www.thepaper.cn/newsDetail_forward_7287247","澎湃国际","utf-8","俄罗斯单日新增过万病例，将分三阶段解除疫情限制性措施_澎湃国际_澎湃新闻-The Paper","俄罗斯,疫情防控","责任编辑：李琪","7/5/2020","7/5/2020 09:17:37","5月5日，在俄罗斯首都莫斯科，医护人员转移病人。新华社 图俄罗斯联邦消费者权益保护和公益监督局局长波波娃5月6日表示，未来将通过三个阶段逐步解除限制性的防疫措施。波波娃在当天举行的总统普京与相关部门负责人和各地负责人视频会议上做出上述表述。她说，第一阶段将允许在户外锻炼身体和从事体育运动；第二阶段将允许与家人沿街散步，允许大型商业场所营业以及教育机构复工；第三阶段是在保持社交距离的情况下开放公园和绿地等公共场所。莫斯科市长索比亚宁表示，莫斯科工业和建筑企业将于5月12日全面复工，服务业领域继续保持限制性措施。波波娃表示，解除限制性措施将参考新增发病数量、空余的隔离床位数量以及新冠病毒检测数量等三个指标。她同时强调，如果疫情恶化，则将恢复防疫限制措施。普京当天在会议上对波波娃和索比亚宁表示了支持。他强调，解除疫情限制性措施需要充分依据专家观点，不可操之过急。任何疏忽或仓促都可能导致前功尽弃。此外，各地区疫情不同，各地行政长官应根据本地区形势采取措施。普京于4月28日宣布全俄带薪假期延长至5月11日并要求消费者权益保护和公益监督局应与政府工作组制定出从5月12日逐步解除限制措施的参考意见。据俄新冠病毒疫情防控指挥部6日消息，过去24小时俄新增新冠病毒确诊病例10559例，累计确诊165929例。（原题为《俄罗斯将分三阶段逐步解除疫情限制性措施》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:39"
"133","https://www.thepaper.cn/newsDetail_forward_7287255","澎湃国际","utf-8","特朗普否决国会限制其对伊战争权力的措施_澎湃国际_澎湃新闻-The Paper","特朗普,美国,伊朗","责任编辑：李琪","7/5/2020","7/5/2020 09:17:38","当地时间5月6日，美国总统特朗普否决国会限制其对伊朗战争权力的措施。美国总统特朗普否决国会限制其对伊朗战争权力的措施。资料图特朗普在一份声明中称，该“羞辱性”决议是民主党为了赢得11月总统大选的手段之一。他表示对苏莱马尼的行动完全合法。特朗普称，该决议将“损害总统保护美国及其盟国的能力”。此前，由参众两院达成共识后，将法案正式送往白宫。这项由弗吉尼亚州民主党参议员蒂姆·凯恩提出的决议案在2月通过了参议院，一个月后在众议院通过，但没有得到足够的支持，以避免遭到特朗普否决。在1月3日巴格达国际机场外的袭击事件发生后，呼吁通过这项立法的呼声不断。当时袭击目标是伊朗前圣城部队指挥官苏莱马尼。伊朗以导弹袭击伊拉克两个驻扎美军的基地作为回应，100多名美军士兵随后因脑部外伤接受了治疗。美国和伊朗之间的紧张局势在最近几周内不断升级，白宫威胁已授权海军“击落并摧毁任何和所有骚扰美国船只的伊朗炮艇”。决议的支持者说，特朗普没有让美国与伊朗发生武装冲突的权力，而且在针对苏莱马尼的行动前，也未经过国会同意。（原题为《特朗普否决国会限制其对伊朗战争权力的措施》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:39"
"136","https://www.thepaper.cn/newsDetail_forward_7287254","澎湃国际","utf-8","世卫组织：应进一步研究法国首例新冠肺炎阳性报告_澎湃国际_澎湃新闻-The Paper","世卫组织","责任编辑：伍智超","7/5/2020","7/5/2020 09:17:38","玛丽亚·范·科霍夫央视新闻客户端5月7日消息，当地时间5月6日，针对有论文显示去年12月27日法国已有首例新冠肺炎PCR检测阳性结果，世卫组织卫生紧急项目技术主管玛丽亚·范·科霍夫表示，论文作者称可能是假阳性，但如果假设不是，那此病例就有可能已感染新冠肺炎，比法国此前报告的首例新冠肺炎确诊病例早了一个月。玛丽亚·范·科霍夫指出，需要此病例的更多信息，以确定其过往经历，法国有可能于12月就已有确诊病例，重要的是进一步研究相关情况。玛丽亚·范·科霍夫表示，100多个国家及地区有针对流感的监测系统，如果对1月甚至去年12月的样本进行新冠肺炎检测，也许会发现阳性样本，但需要了解相关个体为何接受检测以及是如何进行检测的。迈克尔·瑞安世卫组织卫生紧急项目负责人迈克尔·瑞安表示，期待世界其他研究人员的进一步调查，也许会发现类似的情况，同时也期待通过同行评议的论文，从而可以看到验证过的测试并讨论其结果。（原题为《世卫组织：应进一步研究法国首例新冠肺炎阳性报告》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:40"
"137","https://www.thepaper.cn/newsDetail_forward_7287424","澎湃国际","utf-8","特朗普：新冠肺炎疫情大流行比珍珠港事件更糟糕_澎湃国际_澎湃新闻-The Paper","全球疫情,美国,美洲","责任编辑：胡甄卿","7/5/2020","7/5/2020 09:17:38","当地时间6日，美国总统特朗普表示，对美国而言，新冠肺炎大流行造成的后果比珍珠港事件更糟糕。据英国广播公司（BBC）7日消息，特朗普当天在白宫向媒体指出，美国正在遭受新冠肺炎大流行的攻击，而这攻击的破坏程度比日本轰炸珍珠港以及基地组织发动“9·11”恐怖袭击事件的后果更糟糕，“这是我们美国历史上从未遭受过的攻击，这是美国历史上后果最糟糕的一次。”特朗普说道。特朗普坦言，新冠病毒就像看不见的敌人，对美国发动了战争。截至6日，美国累计报告新冠肺炎确诊病例1258051例，其中74190人病亡。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:40"
"138","https://www.thepaper.cn/newsDetail_forward_7287290","澎湃国际","utf-8","全球新冠确诊逾374万，特朗普称疫情打击比911更糟糕_澎湃国际_澎湃新闻-The Paper","新冠肺炎","责任编辑：李琪","7/5/2020","7/5/2020 09:17:38","行人走在美国纽约时报广场附近空荡的街头。新华社 图美国约翰斯·霍普金斯大学发布的实时统计数据显示，截至北京时间5月7日6时30分，全球累计确诊新冠肺炎病例3742665例，累计死亡病例262709例。全球新冠肺炎疫情继续扩散，一些国家进一步收紧疫情防控措施，西班牙议会投票决定将紧急状态延长至5月23日；巴西多个州市拟实行更严格的隔离措施。与此同时，一些疫情严重国家确诊病例持续回落，并逐步开启复工计划，德国决定本月进一步放松疫情防控措施，让经济和社会生活重回正轨；英国政府正在研究“解封”策略；俄罗斯准备分三个阶段逐步接触疫情限制性措施。美国累计确诊1223419例，特朗普称新冠病毒比珍珠港事件和911更糟糕美国约翰斯·霍普金斯大学发布的疫情数据显示，截至北京时间5月7日6时30分，美国累计确诊1223419例，累计死亡病例72812例。与前一日6时30分数据相比，新增确诊病例22082例，新增死亡病例1965例。美国总统特朗普5月6日在白宫椭圆形办公室表示，新冠病毒比珍珠港事件和911事件更糟糕，但美国不会采取大范围的封锁措施，因为人们不会接受，这一措施是不可持续的。当特朗普被问及是否能接受“重新开放美国会导致更多人死亡”这一事实，他表示，“很有可能”，但“希望不会这样”。而在此前，特朗普在接受美国广播公司《今晚世界新闻》的采访时却表示，“对于那些（因新冠肺炎）失去亲人的人来说，没有人比我更难过，这件事让我彻夜难眠”。随着疫情日趋严峻，美媒称，就像消费者在疫情初期抢购洗手液、肥皂和卫生纸一样，美国人现在又开始抢购肉类食品。美国多家食品连锁店及超市随后对肉类食品进行限量供应。好市多和克罗格将限购措施推广至全美所有门店，其他超市则在某些地区实行限购。意大利累计确诊214457例，全国进入抗疫与恢复经济并行第二阶段据意大利民事保护部门网站5月6日消息，截至当天，意大利累计确诊新冠肺炎病例214457例，较前一日增加1444例。新增死亡病例369例，累计死亡病例39684例。从5月4日起，意大利进入抗疫和恢复经济并行的第二阶段。意大利总理孔特日前在社交媒体上表示，意大利制造业和建筑业正在有序复工，意大利民众整体上表现了高度的责任心。孔特说，目前各国应优先考虑加强合作，这对战胜病毒和维护全球健康极其重要。意大利坚信这种合作的可行性，并愿意为此作出贡献。西班牙累计确诊220325例，延长国家紧急状态至23日卫生部官网6日数据显示，与前一天相比，西班牙新增685例新冠肺炎确诊病例，累计确诊220325例；新增死亡病例244例，累计死亡病例达25857例；累计康复126002人。据西班牙《国家报》报道，西班牙众议院于当地时间6日以178票赞成、75票反对、97票弃权的投票结果通过决议，将国家紧急状态再次延长15天，使政府能够维持紧急权力，以应对新冠肺炎疫情。报道称，这是西班牙第四次延长紧急状态，这一状态将持续至5月23日24时。伊朗累计确诊超10万例，官员称疫情有望在6月平息但不会根除伊朗卫生部6日宣布，截至当天中午，伊朗单日新增新冠确诊病例1680例，累计确诊达101650例，成为继土耳其之后中东地区第二个累计确诊病例超10万的国家。伊朗卫生部数据还显示，该国累计死亡病例为6418例，累计治愈81587例，现有2735例重症病例。伊朗卫生部传染病中心主任欧拉法尼表示，现阶段疫情有望在6月平息，但不会根除，零星感染病例仍将发生，疫情或在秋季卷土重来。目前，伊朗社会活动正逐渐回归正轨。4月18日，伊朗全国范围内低风险行业已经复工复产。本月4日，低风险地区的宗教活动也恢复正常。伊朗总统鲁哈尼此前曾表示，部分人员密集产业或将于5月20日复工。德国累计确诊167817例，学校和商店逐渐开放、德甲联赛将恢复据约翰·霍普金斯大学实时数据显示，截至北京时间5月7日6时30分，德国累计确诊病例167817例，累计死亡7275例，较前一天新增确诊病例1111例，新增死亡病例282例。4月20日以来，德国政府初步解除部分防控措施，但境内新增新冠肺炎疫情并没有出现反弹迹象，因而德国决定采取“更大胆”的复工复学措施。当地时间6日，德国总理默克尔与16个州的主要官员会晤后表示，在遵守卫生和社会距离规定的前提下，学校被允许对年龄大一点的学生开放，一定规模以上的商店可以开门营业，德甲联赛也将恢复，重新开赛的具体日期将由联赛决定。法国累计确诊137150例，居家令实施期间人均胖5斤根据法国公共卫生署发布的数据，截至当地时间6日14时，法国累计确诊病例137150例，24小时内新增939例。新增死亡病例278例，累计死亡25809例。据法国《巴黎人报》6日报道，法国的一项最新民调显示，自3月17日法国政府实行“居家令”以来，法国人的体重平均增加了至少2.5公斤，主要原因是吃的太多。英国累计确诊201101例，卫生大臣承认政府早期犯了错当地时间5月6日，英国新增新冠肺炎确诊病例6111例，累计确诊201101例；新增死亡病例649例，累计死亡病例30076例。英国卫生大臣汉考克在接受英国天空电视台采访时称，目前英国政府正在研究解封的策略，但易感人群可能需要更长时间隔离来保护自己。汉考克称人们仍需尽最大可能遵守现在的两米规则（人和人之间要相隔2米），尤其是易感人群。汉考克还承认政府早期策略犯了错，政府应该更早开始大规模测试。土耳其累计确诊131744例，商场内每10平方米最多1个顾客土耳其卫生部5月6日公布的新冠疫情数据显示，该国新增确诊病例2253例，累计确诊131744例；新增死亡病例64例，累计死亡3584例。土耳其购物中心协会主席塔希尔·切利克（Tahir Çelik）日前表示，土耳其商场将逐步开放，所有顾客进入商场必须佩戴口罩，并且接受体温检测。切利克说，5月11日开始土耳其的商场将逐步开放。6月份，所有商场才可能开放。8月份，商场才能完全恢复正常。商场开放后会限制顾客人数，每10平方米最多1个顾客，也就是说，一个2000平米的商场最多可以同时容纳200名顾客。日本累计确诊15477例，“黄金周”最后一天出行民众稀少据日本放送协会(NHK)报道，日本新增新冠肺炎确诊病例105例，累计确诊病例15477例，累计死亡病例577例。日本政府自4月16日宣布全国进入紧急状态以来，多次呼吁民众减少不必要非紧急的外出，尤其是在“黄金周”期间的跨地区移动。6日是日本“黄金周”的最后一天。据日本媒体报道，当天日本多个大型交通枢纽均显得格外冷清，乘客稀少。俄罗斯累计确诊165929例，俄文化部长新冠病毒检测呈阳性俄罗斯新冠病毒防疫官网6日最新数据显示，俄罗斯过去24小时内新增10559例新冠肺炎确诊病例，累计确诊165929例，单日新增确诊病例连续第四天过万；新增死亡病例86例，累计死亡1537例。据塔斯社6日消息，俄罗斯文化部长奥莉加·柳比莫娃新冠病毒检测结果呈阳性。此前，奥莉加·柳比莫娃一直在家工作，还以视频形式召开过工作会议。报道称，奥莉加·柳比莫娃目前症状较轻。巴西累计确诊123809例，多州市拟实施“封城令”据美国约翰斯·霍普金斯大学发布的疫情数据显示，截至北京时间5月7日6时30分，巴西累计确诊123809例，累计死亡8412例。较前一天新增确诊病例9094例，新增死亡病例491例。5日起，巴西北部马拉尼昂州首府圣路易斯市大都会地区开始实施为期10天的“封城”举措，严厉限制人员和车辆在市内通行。塞阿拉州首府福塔莱萨当天宣布，该市将从5月8日起实行“更严格的隔离”措施，相当于进行“全城封锁”。帕拉州当天也宣布，该州的10个城市也将于近期实行“封城令”，以应对日益严峻的疫情。其他国家确诊病例情况除意大利、西班牙、法国、德国、英国之外，欧洲国家中比利时确诊50781例；瑞士及列支敦士登确诊30060例；荷兰确诊41518例；葡萄牙确诊26182例；瑞典确诊23918例；挪威确诊7916例……亚洲国家中，除日韩以外，以色列确诊16310例；马来西亚确诊6428例；巴基斯坦确诊23214例；泰国确诊2989例；沙特确诊31938例；印度确诊52987例；新加坡确诊20198例；伊拉克确诊2480例；科威特确诊6289例；越南确诊271例……大洋洲国家中，澳大利亚确诊6875例；新西兰确诊1486例……美洲国家中，除美国及巴西之外，秘鲁54817例，委内瑞拉367例……（原题为《一文读懂全球疫情：全球累计确诊逾374万例，特朗普称新冠病毒比珍珠港事件和911更糟糕》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:41"
"140","https://www.thepaper.cn/newsDetail_forward_7287320","澎湃国际","utf-8","委内瑞拉未遂政变参与者承认计划抓捕马杜罗，并将其带到美国_澎湃国际_澎湃新闻-The Paper","美国,委内瑞拉,马杜罗","责任编辑：胡甄卿","7/5/2020","7/5/2020 09:17:38","当地时间6日，一名在委内瑞拉4日未遂政变中被抓获的美国籍雇佣兵在接受审讯时表示，自己的行动目标是抓捕委内瑞拉总统马杜罗，并将其带到美国。据俄罗斯卫星通讯社7日报道，委内瑞拉政府在6日公布了被抓获的美国籍雇佣兵卢克·亚历山大·丹曼的审讯视频。视频中，丹曼声称，自己在和美国雇佣兵公司Silvercorp的老板乔丹·古德罗签订合同后，于2020年1月16日飞抵委内瑞拉的邻国哥伦比亚。丹曼表示，自己抵达哥伦比亚后，没有马上收到行动指令，而在近日他收到了指令，他被要求在哥伦比亚和一些委内瑞拉人碰头，并训练他们作战，随后带领他们进入委内瑞拉，控制首都加拉加斯，抓捕委内瑞拉总统马杜罗，并将其带往机场，运回美国“接受审讯”。丹曼指出，Silvercorp雇佣兵公司曾向他暗示，会为此次行动而付给他5万美元到10万美元的报酬（约合人民币35.52万元至71.05万元）。另据委内瑞拉南方电视台（Telesur）6日消息，此次未遂政变之所以被挫败，是因为有一位参与此次行动的雇佣兵在行动期间于委内瑞拉北部的阿拉瓜州海岸向一名渔夫投降，随后该渔夫带领此雇佣兵投奔委内瑞拉政府。此前，据路透社报道，委内瑞拉内政部长雷维罗尔4日宣布，一伙雇佣兵当天凌晨进入委内瑞拉境内，企图实施暴力活动以制造混乱，并发动政变，所幸的是，委安全部队成功挫败了该起政变图谋，打死8人，逮捕13人。委内瑞拉总统马杜罗宣称，被逮捕的雇佣兵中有两个人是美国公民，并公布了他们的护照和身份证件。这两位美国公民受雇于美国雇佣兵公司Silvercorp的老板，退役军人乔丹•古德罗。“美国政府完全地参与这起被挫败的政变图谋。”委政府在一份声明中说，“未遂政变与美国企图推翻委政府的计划有关，委内瑞拉民众要提高警惕，委内瑞拉政府也将坚决打击恐怖主义行为。”古德罗4日早些时候于美国佛罗里达州和一位退役的委内瑞拉武装部队上尉一同录制视频，视频中，古德罗承认自己策划了此次武装入侵行动，并表示行动是由视频中一同出镜的委武装部队退役上尉支持的。古德罗强调，他的手下会从现在起继续战斗。至于美国政府，美国总统特朗普在5日否认了委内瑞拉官员对美国与未遂政变有关的指控，“我们刚刚听说了这件事，我们会努力去找到真相。”特朗普说，“委内瑞拉的这次事件与美国政府没有关系。”从2019年起，美国在经济、政治、外交和军事上不断对委进行极限施压，并联合拉美地区一些国家施压要求委现政府下台。2020年4月，美国以“禁毒”为名向委内瑞拉领海附近派遣军舰加强军事部署，委政府对此指出，美国是对委实施事实上的海上封锁和军事威胁。(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:41"
"141","https://www.thepaper.cn/newsDetail_forward_7287281","澎湃国际","utf-8","加拿大累计确诊新冠肺炎63496例，死亡4232例_澎湃国际_澎湃新闻-The Paper","加拿大,新冠肺炎","责任编辑：李琪","7/5/2020","7/5/2020 09:17:38","5月4日，在加拿大米西索加市，工作人员在一家超市入口向顾客发口罩。新华社 图根据加拿大各省当地时间5月6日陆续发布的新冠肺炎疫情统计数据显示，截至目前，加拿大累计新冠肺炎确诊病例63496例，死亡病例累计4232例，分别比前一日增加1450例和189例。不列颠哥伦比亚省当天新增确诊病例23例，累计2255例。死亡病例增至124例。魁北克省新增910例确诊病例，累计达到34327例。死亡病例新增112例，增至2510例。安大略省新增412例确诊病例，累计增至18722例，死亡新增68例，增至1429例。艾伯塔省增加了70例确诊病例，累计5963例，死亡病例增至112例。马尼托巴省确诊病例增至284例，新斯科舍省确诊病例增至998例，萨斯克彻温省确诊病例增至512例，新不伦瑞克省确诊病例增至120例。其他各省和地区均无新增确诊病例和死亡病例。（原题为《加拿大新冠肺炎确诊病例累计63496例 死亡病例增至4232例》）(本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP)","7/5/2020 09:17:41"
